序号,汉字,拼音
1,的,de
2,一,yi
3,国,guo
4,在,zai
5,人,ren
6,了,le
7,有,you
8,中,zhong
9,是,shi
10,年,nian
11,和,he
12,大,da
13,业,ye
14,不,bu
15,为,wei
16,发,fa
17,会,hui
18,工,gong
19,经,jing
20,上,shang
21,地,di
22,市,shi
23,要,yao
24,个,ge
25,产,chan
26,这,zhe
27,出,chu
28,行,hang
29,作,zuo
30,生,sheng
31,家,jia
32,以,yi
33,成,cheng
34,到,dao
35,日,ri
36,民,min
37,来,lai
38,我,wo
39,部,bu
40,对,dui
41,进,jin
42,多,duo
43,全,quan
44,建,jian
45,他,ta
46,公,gong
47,开,kai
48,们,men
49,场,chang
50,展,zhan
51,时,shi
52,理,li
53,新,xin
54,方,fang
55,主,zhu
56,企,qi
57,资,zi
58,实,shi
59,学,xue
60,报,bao
61,制,zhi
62,政,zheng
63,济,ji
64,用,yong
65,同,tong
66,于,yu
67,法,fa
68,高,gao
69,长,chang
70,现,xian
71,本,ben
72,月,yue
73,定,ding
74,化,hua
75,加,jia
76,动,dong
77,合,he
78,品,pin
79,重,zhong
80,关,guan
81,机,ji
82,分,fen
83,力,li
84,自,zi
85,外,wai
86,者,zhe
87,区,qu
88,能,neng
89,设,she
90,后,hou
91,就,jiu
92,等,deng
93,体,ti
94,下,xia
95,万,wan
96,元,yuan
97,社,she
98,过,guo
99,前,qian
100,面,mian
101,农,nong
102,也,ye
103,得,de
104,与,yu
105,说,shuo
106,之,zhi
107,员,yuan
108,而,er
109,务,wu
110,利,li
111,电,dian
112,文,wen
113,事,shi
114,可,ke
115,种,zhong
116,总,zong
117,改,gai
118,三,san
119,各,ge
120,好,hao
121,金,jin
122,第,di
123,司,si
124,其,qi
125,从,cong
126,平,ping
127,代,dai
128,当,dang
129,天,tian
130,水,shui
131,省,sheng
132,提,ti
133,商,shang
134,十,shi
135,管,guan
136,内,nei
137,小,xiao
138,技,ji
139,位,wei
140,目,mu
141,起,qi
142,海,hai
143,所,suo
144,立,li
145,已,yi
146,通,tong
147,入,ru
148,量,liang
149,子,zi
150,问,wen
151,度,du
152,北,bei
153,保,bao
154,心,xin
155,还,hai
156,科,ke
157,委,wei
158,都,dou
159,术,shu
160,使,shi
161,明,ming
162,着,zhe
163,次,ci
164,将,jiang
165,增,zeng
166,基,ji
167,名,ming
168,向,xiang
169,门,men
170,应,ying
171,里,li
172,美,mei
173,由,you
174,规,gui
175,今,jin
176,题,ti
177,记,ji
178,点,dian
179,计,ji
180,去,qu
181,强,qiang
182,两,liang
183,些,xie
184,表,biao
185,系,xi
186,办,ban
187,教,jiao
188,正,zheng
189,条,tiao
190,最,zui
191,达,da
192,特,te
193,革,ge
194,收,shou
195,二,er
196,期,qi
197,并,bing
198,程,cheng
199,厂,chang
200,如,ru
201,道,dao
202,际,ji
203,及,ji
204,西,xi
205,口,kou
206,京,jing
207,华,hua
208,任,ren
209,调,diao
210,性,xing
211,导,dao
212,组,zu
213,东,dong
214,路,lu
215,活,huo
216,广,guang
217,意,yi
218,比,bi
219,投,tou
220,决,jue
221,交,jiao
222,统,tong
223,党,dang
224,南,nan
225,安,an
226,此,ci
227,领,ling
228,结,jie
229,营,ying
230,项,xiang
231,情,qing
232,解,jie
233,议,yi
234,义,yi
235,山,shan
236,先,xian
237,车,che
238,然,ran
239,价,jia
240,放,fang
241,世,shi
242,间,jian
243,因,yin
244,共,gong
245,院,yuan
246,步,bu
247,物,wu
248,界,jie
249,集,ji
250,把,ba
251,持,chi
252,无,wu
253,但,dan
254,城,cheng
255,相,xiang
256,书,shu
257,村,cun
258,求,qiu
259,治,zhi
260,取,qu
261,原,yuan
262,处,chu
263,府,fu
264,研,yan
265,质,zhi
266,信,xin
267,四,si
268,运,yun
269,县,xian
270,军,Jun
271,件,jian
272,育,yu
273,局,ju
274,干,gan
275,队,dui
276,团,tuan
277,又,you
278,造,zao
279,形,xing
280,级,ji
281,标,biao
282,联,lian
283,专,zhuan
284,少,shao
285,费,fei
286,效,xiao
287,据,ju
288,手,shou
289,施,shi
290,权,quan
291,江,jiang
292,近,jin
293,深,shen
294,更,geng
295,认,ren
296,果,guo
297,格,ge
298,几,ji
299,看,kan
300,没,mei
301,职,zhi
302,服,fu
303,台,tai
304,式,shi
305,益,yi
306,想,xiang
307,数,shu
308,单,dan
309,样,yang
310,只,zhi
311,被,bei
312,亿,yi
313,老,lao
314,受,shou
315,优,you
316,常,chang
317,销,xiao
318,志,zhi
319,战,zhan
320,流,liu
321,很,hen
322,接,jie
323,乡,xiang
324,头,tou
325,给,gei
326,至,zhi
327,难,nan
328,观,guan
329,指,zhi
330,创,chuang
331,证,zheng
332,织,zhi
333,论,lun
334,别,bie
335,五,wu
336,协,xie
337,变,bian
338,风,feng
339,批,pi
340,见,jian
341,究,jiu
342,支,zhi
343,那,na
344,查,cha
345,张,zhang
346,精,jing
347,每,mei
348,林,lin
349,转,zhuan
350,划,hua
351,准,zhun
352,做,zuo
353,需,xu
354,传,chuan
355,争,zheng
356,税,shui
357,构,gou
358,具,ju
359,百,bai
360,或,huo
361,才,cai
362,积,ji
363,势,shi
364,举,ju
365,必,bi
366,型,xing
367,易,yi
368,视,shi
369,快,kuai
370,李,li
371,参,can
372,回,hui
373,引,yin
374,镇,zhen
375,首,shou
376,推,tui
377,思,si
378,完,wan
379,消,xiao
380,值,zhi
381,该,gai
382,走,zou
383,装,zhuang
384,众,zhong
385,责,ze
386,备,bei
387,州,zhou
388,供,gong
389,包,bao
390,副,fu
391,极,ji
392,整,zheng
393,确,que
394,知,zhi
395,贸,mao
396,己,ji
397,环,huan
398,话,hua
399,反,fan
400,身,shen
401,选,xuan
402,亚,ya
403,么,me
404,带,dai
405,采,cai
406,王,wang
407,策,ce
408,真,zhen
409,女,nv
410,谈,tan
411,严,yan
412,斯,si
413,况,kuang
414,色,se
415,打,da
416,德,de
417,告,gao
418,仅,jin
419,它,ta
420,气,qi
421,料,liao
422,神,shen
423,率,lv
424,识,shi
425,劳,lao
426,境,jing
427,源,yuan
428,青,qing
429,护,hu
430,列,lie
431,兴,xing
432,许,xu
433,户,hu
434,马,ma
435,港,gang
436,则,ze
437,节,jie
438,款,kuan
439,拉,la
440,直,zhi
441,案,an
442,股,gu
443,光,guang
444,较,jiao
445,河,he
446,花,hua
447,根,gen
448,布,bu
449,线,xian
450,土,tu
451,克,ke
452,再,zai
453,群,qun
454,医,yi
455,清,qing
456,速,su
457,律,lv
458,她,ta
459,族,zu
460,历,li
461,非,fei
462,感,gan
463,占,zhan
464,续,xu
465,师,shi
466,何,he
467,影,ying
468,功,gong
469,负,fu
470,验,yan
471,望,wang
472,财,cai
473,类,lei
474,货,huo
475,约,yue
476,艺,yi
477,售,shou
478,连,lian
479,纪,ji
480,按,an
481,讯,xun
482,史,shi
483,示,shi
484,象,xiang
485,养,yang
486,获,huo
487,石,shi
488,食,shi
489,抓,zhua
490,富,fu
491,模,mo
492,始,shi
493,住,zhu
494,赛,sai
495,客,ke
496,越,yue
497,闻,wen
498,央,yang
499,席,xi
500,坚,jian
501,份,fen
502,士,shi
503,热,re
504,限,xian
505,米,mi
506,银,yin
507,息,xi
508,校,xiao
509,均,Jun
510,房,fang
511,周,zhou
512,游,you
513,千,qian
514,失,shi
515,八,ba
516,检,jian
517,足,zu
518,配,pei
519,存,cun
520,九,jiu
521,命,ming
522,尔,er
523,即,ji
524,防,fang
525,钱,qian
526,评,ping
527,复,fu
528,考,kao
529,依,yi
530,断,duan
531,范,fan
532,础,chu
533,油,you
534,照,zhao
535,段,duan
536,落,luo
537,访,fang
538,未,wei
539,额,e
540,双,shuang
541,让,rang
542,切,qie
543,须,xu
544,儿,er
545,便,bian
546,空,kong
547,往,wang
548,你,ni
549,层,ceng
550,低,di
551,奖,jiang
552,注,zhu
553,黄,huang
554,英,ying
555,承,cheng
556,远,yuan
557,版,ban
558,维,wei
559,算,suan
560,破,po
561,铁,tie
562,乐,le
563,边,bian
564,初,chu
565,满,man
566,病,bing
567,响,xiang
568,药,yao
569,助,zhu
570,致,zhi
571,善,shan
572,突,tu
573,爱,ai
574,容,rong
575,香,xiang
576,称,cheng
577,购,gou
578,届,jie
579,余,yu
580,素,su
581,请,qing
582,白,bai
583,宣,xuan
584,健,jian
585,牌,pai
586,促,cu
587,培,pei
588,竞,jing
589,巴,ba
590,稳,wen
591,继,ji
592,紧,jin
593,字,zi
594,困,kun
595,刘,liu
596,旅,lv
597,声,sheng
598,超,chao
599,随,sui
600,例,li
601,担,dan
602,友,you
603,号,hao
604,显,xian
605,却,que
606,监,jian
607,材,cai
608,且,qie
609,春,chun
610,居,ju
611,适,shi
612,除,chu
613,红,hong
614,半,ban
615,买,mai
616,充,chong
617,陈,chen
618,火,huo
619,搞,gao
620,图,tu
621,阳,yang
622,六,liu
623,察,cha
624,试,shi
625,太,tai
626,什,shi
627,执,zhi
628,片,pian
629,古,gu
630,七,qi
631,球,qiu
632,修,xiu
633,尽,jin
634,控,kong
635,讲,jiang
636,排,pai
637,粮,liang
638,武,wu
639,预,yu
640,亲,qin
641,挥,hui
642,卖,mai
643,审,shen
644,措,cuo
645,荣,rong
646,洲,zhou
647,卫,wei
648,希,xi
649,店,dian
650,良,liang
651,属,shu
652,险,xian
653,曾,ceng
654,围,wei
655,域,yu
656,令,ling
657,站,zhan
658,苏,su
659,龙,long
660,念,nian
661,罗,luo
662,吨,dun
663,器,qi
664,汇,hui
665,康,kang
666,减,jian
667,习,xi
668,演,yan
669,普,pu
670,田,tian
671,班,ban
672,待,dai
673,星,xing
674,飞,fei
675,写,xie
676,矿,kuang
677,轻,qing
678,扩,kuo
679,言,yan
680,章,zhang
681,汽,qi
682,靠,kao
683,毛,mao
684,终,zhong
685,仍,reng
686,景,jing
687,置,zhi
688,底,di
689,福,fu
690,止,zhi
691,离,li
692,泽,ze
693,波,bo
694,兰,lan
695,核,he
696,降,jiang
697,训,xun
698,逐,zhu
699,票,piao
700,菜,cai
701,座,zuo
702,献,xian
703,钢,gang
704,眼,yan
705,损,sun
706,宁,ning
707,像,xiang
708,苦,ku
709,印,yin
710,融,rong
711,独,du
712,湖,hu
713,早,zao
714,予,yu
715,夫,fu
716,编,bian
717,换,huan
718,欧,ou
719,努,nu
720,著,zhe
721,顾,gu
722,征,zheng
723,升,sheng
724,态,tai
725,套,tao
726,介,jie
727,送,song
728,某,mou
729,斗,dou
730,状,zhuang
731,画,hua
732,留,liu
733,航,hang
734,派,pai
735,室,shi
736,临,lin
737,兵,bing
738,补,bu
739,宝,bao
740,略,lue
741,黑,hei
742,综,zong
743,云,yun
744,差,cha
745,纳,na
746,密,mi
747,贫,pin
748,剧,ju
749,犯,fan
750,阿,a
751,击,ji
752,遇,yu
753,岁,sui
754,阶,jie
755,烈,lie
756,督,du
757,吃,chi
758,丰,feng
759,馆,guan
760,招,zhao
761,害,hai
762,官,guan
763,树,shu
764,听,ting
765,庭,ting
766,另,ling
767,沙,sha
768,私,si
769,针,zhen
770,胜,sheng
771,贷,dai
772,网,wang
773,愿,yuan
774,托,tuo
775,缺,que
776,园,yuan
777,假,jia
778,酒,jiu
779,音,yin
780,巨,ju
781,既,ji
782,判,pan
783,输,shu
784,讨,tao
785,测,ce
786,读,du
787,洋,yang
788,括,kuo
789,筑,zhu
790,欢,huan
791,刚,gang
792,庆,qing
793,久,jiu
794,陆,lu
795,找,zhao
796,楼,lou
797,激,ji
798,晚,wan
799,绝,jue
800,压,ya
801,故,gu
802,互,hu
803,签,qian
804,汉,han
805,草,cao
806,木,mu
807,亩,mu
808,短,duan
809,绍,shao
810,迎,ying
811,吸,xi
812,警,jing
813,藏,cang
814,疗,liao
815,贵,gui
816,纷,fen
817,授,shou
818,登,deng
819,探,tan
820,索,suo
821,湾,wan
822,宏,hong
823,录,lu
824,申,shen
825,诉,su
826,秀,xiu
827,序,xu
828,顺,shun
829,死,si
830,卡,ka
831,歌,ge
832,午,wu
833,孩,hai
834,桥,qiao
835,喜,xi
836,川,chuan
837,邓,deng
838,扬,yang
839,津,jin
840,温,wen
841,船,chuan
842,库,ku
843,订,ding
844,练,lian
845,候,hou
846,退,tui
847,违,wei
848,否,fou
849,彩,cai
850,棉,mian
851,帮,bang
852,拿,na
853,罪,zui
854,币,bi
855,角,jiao
856,召,zhao
857,灾,zai
858,妇,fu
859,杨,yang
860,奋,fen
861,绩,ji
862,虽,sui
863,煤,mei
864,免,mian
865,笔,bi
866,够,gou
867,永,yong
868,圳,zhen
869,停,ting
870,奥,ao
871,鲜,xian
872,朝,chao
873,吴,wu
874,岛,dao
875,觉,jiao
876,移,yi
877,尼,ni
878,急,ji
879,博,bo
880,贯,guan
881,拥,yong
882,束,shu
883,左,zuo
884,细,xi
885,舞,wu
886,幅,fu
887,语,yu
888,俄,e
889,奇,qi
890,般,ban
891,简,jian
892,拍,pai
893,脑,nao
894,债,zhai
895,固,gu
896,威,wei
897,券,quan
898,追,zhui
899,筹,chou
900,刻,ke
901,映,ying
902,繁,fan
903,伟,wei
904,甚,shen
905,饭,fan
906,右,you
907,彻,che
908,烟,yan
909,沿,yan
910,街,jie
911,血,xue
912,冲,chong
913,洪,hong
914,植,zhi
915,誉,yu
916,刊,kan
917,玉,yu
918,厅,ting
919,救,jiu
920,潮,chao
921,迅,xun
922,伍,wu
923,怎,zen
924,付,fu
925,倍,bei
926,顿,dun
927,述,shu
928,播,bo
929,励,li
930,斤,jin
931,乎,hu
932,纸,zhi
933,振,zhen
934,旧,jiu
935,障,zhang
936,鼓,gu
937,艰,jian
938,呼,hu
939,吉,ji
940,男,nan
941,绿,lv
942,尚,shang
943,夏,xia
944,亏,kui
945,季,ji
946,松,song
947,哈,ha
948,祖,zu
949,典,dian
950,韩,han
951,遍,bian
952,夜,ye
953,轮,lun
954,板,ban
955,抗,kang
956,摄,she
957,杂,za
958,皮,pi
959,贡,gong
960,借,jie
961,幕,mu
962,罚,fa
963,伤,shang
964,岸,an
965,扶,fu
966,乱,luan
967,曲,qu
968,脱,tuo
969,践,jian
970,危,wei
971,澳,ao
972,童,tong
973,散,san
974,味,wei
975,叶,ye
976,累,lei
977,谢,xie
978,孙,sun
979,邮,you
980,雄,xiong
981,兼,jian
982,微,wei
983,呢,ne
984,谁,shui
985,惠,hui
986,偿,chang
987,署,shu
988,择,ze
989,染,ran
990,答,da
991,块,kuai
992,徐,xu
993,鱼,yu
994,赞,zan
995,课,ke
996,盛,sheng
997,延,yan
998,瑞,rui
999,怀,huai
1000,堂,tang
1001,驻,zhu
1002,零,ling
1003,辆,liang
1004,齐,qi
1005,胡,hu
1006,途,tu
1007,封,feng
1008,似,si
1009,润,run
1010,守,shou
1011,毕,bi
1012,坦,tan
1013,母,mu
1014,雨,yu
1015,败,bai
1016,朱,zhu
1017,污,wu
1018,趋,qu
1019,械,xie
1020,纺,fang
1021,租,zu
1022,灵,ling
1023,拓,tuo
1024,残,can
1025,含,han
1026,握,wo
1027,跨,kua
1028,衣,yi
1029,储,chu
1030,瓦,wa
1031,蒙,meng
1032,析,xi
1033,鉴,jian
1034,竟,jing
1035,骨,gu
1036,档,dang
1037,秘,mi
1038,禁,jin
1039,赵,zhao
1040,宾,bin
1041,异,yi
1042,伊,yi
1043,智,zhi
1044,钟,zhong
1045,键,jian
1046,辉,hui
1047,跃,yue
1048,冷,leng
1049,倒,dao
1050,庄,zhuang
1051,毒,du
1052,仪,yi
1053,哪,na
1054,涉,she
1055,泛,fan
1056,宗,zong
1057,鹏,peng
1058,归,gui
1059,岗,gang
1060,雷,lei
1061,礼,li
1062,尤,you
1063,休,xiu
1064,泰,tai
1065,疾,ji
1066,肥,fei
1067,珠,zhu
1068,叫,jiao
1069,牛,niu
1070,宜,yi
1071,抵,di
1072,挂,gua
1073,寻,xun
1074,父,fu
1075,攻,gong
1076,佳,jia
1077,塞,sai
1078,架,jia
1079,符,fu
1080,裁,cai
1081,虑,lv
1082,肉,rou
1083,启,qi
1084,丽,li
1085,露,lu
1086,鲁,lu
1087,秋,qiu
1088,昌,chang
1089,估,gu
1090,射,she
1091,册,ce
1092,若,ruo
1093,宽,kuan
1094,厚,hou
1095,盾,dun
1096,硬,ying
1097,末,mo
1098,轨,gui
1099,饮,yin
1100,勤,qin
1101,茶,cha
1102,诗,shi
1103,郑,zheng
1104,冠,guan
1105,涨,zhang
1106,篇,pian
1107,泥,ni
1108,唱,chang
1109,纯,chun
1110,坡,po
1111,熟,shu
1112,浙,zhe
1113,晓,xiao
1114,抢,qiang
1115,丝,si
1116,锦,jin
1117,载,zai
1118,笑,xiao
1119,勇,yong
1120,杰,jie
1121,患,huan
1122,乌,wu
1123,坐,zuo
1124,雪,xue
1125,戏,xi
1126,背,bei
1127,塔,ta
1128,翻,fan
1129,沈,shen
1130,遗,yi
1131,聚,ju
1132,渠,qu
1133,哥,ge
1134,享,xiang
1135,迹,ji
1136,森,sen
1137,辽,liao
1138,衡,heng
1139,掌,zhang
1140,牧,mu
1141,附,fu
1142,操,cao
1143,赶,gan
1144,览,lan
1145,野,ye
1146,盟,meng
1147,殊,shu
1148,仁,ren
1149,错,cuo
1150,萨,sa
1151,夺,duo
1152,梅,mei
1153,误,wu
1154,词,ci
1155,董,dong
1156,潜,qian
1157,卷,juan
1158,矛,mao
1159,腐,fu
1160,亮,liang
1161,冒,mao
1162,盖,gai
1163,旗,qi
1164,井,jing
1165,凡,fan
1166,震,zhen
1167,峰,feng
1168,坏,huai
1169,倾,qing
1170,距,ju
1171,壮,zhuang
1172,惊,jing
1173,盘,pan
1174,梁,liang
1175,摆,bai
1176,径,jing
1177,忠,zhong
1178,冰,bing
1179,峡,xia
1180,丹,dan
1181,避,bi
1182,珍,zhen
1183,乘,cheng
1184,刑,xing
1185,扎,zha
1186,透,tou
1187,迫,po
1188,箱,xiang
1189,莫,mo
1190,跑,pao
1191,穿,chuan
1192,祝,zhu
1193,乏,fa
1194,厦,sha
1195,渐,jian
1196,软,ruan
1197,询,xun
1198,折,zhe
1199,浪,lang
1200,朋,peng
1201,敢,gan
1202,诚,cheng
1203,弱,ruo
1204,疑,yi
1205,邀,yao
1206,沉,chen
1207,端,duan
1208,床,chuang
1209,络,luo
1210,疆,jiang
1211,缩,suo
1212,脚,jiao
1213,甘,gan
1214,贴,tie
1215,勒,le
1216,荒,huang
1217,唐,tang
1218,静,jing
1219,缓,huan
1220,侵,qin
1221,句,ju
1222,尊,zun
1223,塑,su
1224,肃,su
1225,怕,pa
1226,耕,geng
1227,痛,tong
1228,援,yuan
1229,劣,lie
1230,伙,huo
1231,挑,tiao
1232,洗,xi
1233,暴,bao
1234,冬,dong
1235,龄,ling
1236,乔,qiao
1237,餐,can
1238,肯,ken
1239,廉,lian
1240,跟,gen
1241,阵,zhen
1242,伐,fa
1243,悉,xi
1244,忘,wang
1245,闭,bi
1246,奔,ben
1247,恢,hui
1248,宋,song
1249,泉,quan
1250,杯,bei
1251,渡,du
1252,吗,ma
1253,奉,feng
1254,婚,hun
1255,赴,fu
1256,恩,en
1257,盐,yan
1258,掉,diao
1259,洁,jie
1260,亡,wang
1261,洛,luo
1262,聘,pin
1263,蔬,shu
1264,混,hun
1265,摩,mo
1266,抽,chou
1267,鸡,ji
1268,剂,ji
1269,胆,dan
1270,麦,mai
1271,谋,mou
1272,雅,ya
1273,废,fei
1274,贺,he
1275,羊,yang
1276,阔,kuo
1277,唯,wei
1278,捐,juan
1279,返,fan
1280,隆,long
1281,穷,qiong
1282,辛,xin
1283,猪,zhu
1284,帐,zhang
1285,饰,shi
1286,郭,guo
1287,颁,ban
1288,灯,deng
1289,绕,rao
1290,诸,zhu
1291,伴,ban
1292,顶,ding
1293,祥,xiang
1294,谓,wei
1295,恶,e
1296,番,fan
1297,敏,min
1298,旦,dan
1299,劲,jin
1300,缴,jiao
1301,麻,ma
1302,屋,wu
1303,跳,tiao
1304,码,ma
1305,鞋,xie
1306,扣,kou
1307,迈,mai
1308,忙,mang
1309,趣,qu
1310,盈,ying
1311,棋,qi
1312,勃,bo
1313,敬,jing
1314,辑,ji
1315,摊,tan
1316,旺,wang
1317,纠,jiu
1318,炼,lian
1319,梦,meng
1320,偏,pian
1321,渔,yu
1322,牙,ya
1323,侨,qiao
1324,黎,li
1325,赔,pei
1326,裕,yu
1327,宫,gong
1328,谷,gu
1329,概,gai
1330,稿,gao
1331,柱,zhu
1332,弹,tan
1333,殖,zhi
1334,秩,zhi
1335,凭,ping
1336,拨,bo
1337,幸,xing
1338,洞,dong
1339,伪,wei
1340,沟,gou
1341,姓,xing
1342,遭,zao
1343,涌,yong
1344,陶,tao
1345,迁,qian
1346,诺,nuo
1347,拔,ba
1348,畅,chang
1349,忧,you
1350,胞,bao
1351,丁,ding
1352,蓄,xu
1353,贝,bei
1354,舍,she
1355,腾,teng
1356,杀,sha
1357,煌,huang
1358,圆,yuan
1359,伦,lun
1360,横,heng
1361,薄,bao
1362,畜,chu
1363,毫,hao
1364,豪,hao
1365,弟,di
1366,呈,cheng
1367,佛,fo
1368,邦,bang
1369,您,nin
1370,墨,mo
